no,part_no,Sparepart,Stok,Jumlah,Harga,Kategori,Klasifikasi
740.0,12300-85860-0CA,"TANK ASSY,POWER STEERING OIL",Banyak,Rendah,Mahal,Critical,tidak laris
754.0,49214-65J00-000,"HOSE,SUCTION",Sedang,Tinggi,Murah,Fast,laris
755.0,49230-65J00-000,"HOSE COMP,PRESSURE",Dikit,Rendah,Mahal,Fast,tidak laris
730.0,72492-65J00-000,"BEARING SET,CONNROD",Sedang,Tinggi,Murah,Critical,laris
757.0,12220-65J01-000,CRANKSHAFT,Dikit,Rendah,Mahal,Critical,laris
758.0,17852-65D00-000,"HOSE,WTR BYPASS NO.2",Banyak,Tinggi,Murah,Fast,laris
759.0,28210-65J11-000,"CABLE ASSY,SELECT",Sedang,Tinggi,Mahal,Critical,laris
760.0,37720-65J10-000,"SWITCH ASSY,SHIFT",Dikit,Rendah,Mahal,Slow,tidak laris
761.0,48525-65J00-000,"BUSHING,STEERING MOUNT",Sedang,Tinggi,Murah,Critical,laris
762.0,48830-65J00-000,"TIE-ROD,STEERING",Sedang,Tinggi,Mahal,Critical,laris
763.0,84611-65J00-000,"MOLDING,WINDSHIELD",Sedang,Rendah,Mahal,Slow,tidak laris
764.0,84641-65J00-000,"WEATHERSTRIP,FT DR OPNG,R",Sedang,Tinggi,Mahal,Slow,laris
765.0,35261-65J00-000,BALLAST ASSY,Dikit,Rendah,Mahal,Slow,tidak laris
673.0,45261-65J00-000,"MOUNTING,MUFFLER",Sedang,Rendah,Murah,Critical,laris
767.0,83961-65J00-000,CARRIER SPARETIRE,Dikit,Rendah,Mahal,Slow,tidak laris
953.0,11141-73K01-000,PISTON CUP/BOOT SET,Sedang,Tinggi,Mahal,Critical,laris
769.0,15100-8000V-XNA,"PUMP ASSY,FUEL",Dikit,Rendah,Mahal,Critical,laris
770.0,35670-65J21-000,"LAMP UNIT,RR COMBINATION LH",Dikit,Rendah,Mahal,Slow,tidak laris
771.0,17140-77E07-000,"PULLEY COMP,COOLING FAN",Sedang,Rendah,Mahal,Critical,tidak laris
772.0,35650-65J21-000,"LAMP UNIT,RR COMBINATION RH",Dikit,Rendah,Mahal,Slow,tidak laris
773.0,35121-83021-000,"UNIT,LAMP",Sedang,Rendah,Mahal,Critical,tidak laris
774.0,35650-80JA0-000,"UNIT,RR COMBINATION RH",Dikit,Rendah,Mahal,Critical,laris
775.0,35670-80JA0-000,"UNIT,RR COMBINATION LH",Dikit,Rendah,Mahal,Critical,laris
776.0,15100-60AV1-000,"PUMP ASSY,FUEL",Sedang,Tinggi,Mahal,Critical,laris
777.0,51100-8076V-000,"CYLINDER ASSY,BRAKE MASTER",Dikit,Rendah,Mahal,Critical,laris
778.0,11400-65865-000,"GASKET SET,ENGINE",Dikit,Rendah,Mahal,Critical,laris
779.0,11610-80JA0-000,"MOUNTING COMP,ENGINE RH",Sedang,Tinggi,Mahal,Critical,laris
993.0,23820-65D01-000,"MOUNTING COMP,ENGINE LH",Banyak,Rendah,Mahal,Critical,tidak laris
781.0,11641-79J00-000,"BRACKET,ENG RH MTG",Banyak,Tinggi,Mahal,Slow,tidak laris
782.0,11710-80J00-000,"MOUNTING COMP,ENGINE RR",Banyak,Tinggi,Mahal,Critical,laris
594.0,11710-63J20-000,"MOUNTING COMP,ENGINE RR",Dikit,Rendah,Mahal,Critical,laris
528.0,12761-77E11-000,"MOUNTING COMP,ENGINE FR",Sedang,Rendah,Mahal,Critical,tidak laris
785.0,13400-80JA0-000,"BODY ASSY,THROTTLE",Dikit,Rendah,Mahal,Critical,laris
786.0,14185-80J00-000,"CLAMP,EXH PIPE",Sedang,Rendah,Murah,Slow,laris
787.0,14250-80JB2-000,"PIPE,EXHAUST CENTER",Dikit,Rendah,Mahal,Fast,tidak laris
788.0,14300-80J00-000,MUFFLER,Sedang,Tinggi,Mahal,Critical,laris
789.0,17700-80JA0-000,RADIATOR ASSY (A/T),Dikit,Rendah,Mahal,Critical,laris
790.0,17700-80JB0-000,RADIATOR ASSY (M/T),Dikit,Rendah,Mahal,Critical,laris
791.0,17830-55GA0-000,"PIPE,HEATER INLET",Banyak,Tinggi,Murah,Fast,laris
792.0,17840-55GA0-000,"PIPE,WATER INLET NO.1",Banyak,Tinggi,Murah,Fast,laris
793.0,17860-80JA0-000,"PIPE COMP,WTR INLET N0.2",Banyak,Tinggi,Murah,Fast,laris
794.0,17875-55GA0-000,"HOSE,HEATER INLET NO.2",Banyak,Tinggi,Murah,Fast,laris
795.0,17936-80JA0-000,"HOSE,RSVR TANK VENT",Banyak,Tinggi,Murah,Fast,laris
796.0,22100-80J21-000,"COVER ASSY,CLUTCH",Dikit,Rendah,Mahal,Slow,tidak laris
797.0,23820-79J00-000,"CYLINDER ASSY,CLUTCH OPERATING",Sedang,Rendah,Mahal,Critical,tidak laris
807.0,48534-79J00-000,"JOINT,CLUTCH OIL",Sedang,Rendah,Murah,Critical,laris
799.0,23800-54810-000,PISTON SET,Sedang,Tinggi,Murah,Critical,laris
800.0,28300-80J00-000,"CABLE ASSY,SHIFT & SELECT CONT",Dikit,Rendah,Mahal,Critical,laris
801.0,29365-73J00-000,"CLIP,GEAR CONT CABLE NO.2",Sedang,Tinggi,Murah,Slow,laris
802.0,41602-80J01-000,"STRUT ASSY,FRONT SPNSN,L",Dikit,Rendah,Mahal,Critical,laris
803.0,41710-80J00-000,"SUPPORT COMP,FRONT STRUT",Sedang,Tinggi,Mahal,Critical,laris
804.0,42111-80J00-000,"STOPPER,FRONT BUMP",Sedang,Tinggi,Murah,Slow,laris
460.0,27831-54G00-000,"MOUNT,STABILIZER BAR",Sedang,Rendah,Murah,Critical,laris
